defect_id,asset_id,department,defect_type,defect_severity,detected_date,detected_by,status,recommended_action,estimated_work_duration_min,max_allowed_delay_days,source_system,source_defect_id,created_at,updated_at
111,13,S&T,LC_boom_sticking,major,2026-08-18,OMMS footplate,acknowledged,Attend LC boom sticking on PYRJ-MIU km 10.819-10.874,50,7,TRC,PYRJ-MIU-0111,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
112,72,TRD,jumper_hotspot,minor,2026-08-20,TRC recording,open,Attend jumper hotspot on ALD-MZP km 632.851-635.241,30,24,FOIS-OMMS,ALD-MZP-0112,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
113,86,P.Way,sleeper_decay,major,2026-09-07,SSE/S&T/PRYJ,in_progress,Attend sleeper decay on PYRJ-ALD km 2.428-5.559,90,9,TMS,PYRJ-ALD-0113,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
114,74,TRD,jumper_hotspot,minor,2026-08-28,JE/P.Way/MZP,in_progress,Attend jumper hotspot on PYRJ-ALD km 9.039-11.159,75,22,TMS,PYRJ-ALD-0114,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
115,45,P.Way,weed_growth,observational,2026-09-03,OMMS footplate,open,Attend weed growth on ALD-MZP km 654.211-656.263,45,46,USFD,ALD-MZP-0115,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
116,72,TRD,dropper_missing,observational,2026-08-02,USFD team/PRYJ,acknowledged,Attend dropper missing on ALD-MZP km 632.851-635.241,15,47,TMS,ALD-MZP-0116,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
117,24,TRD,insulator_flashover,major,2026-08-22,SSE/S&T/PRYJ,closed,Attend insulator flashover on ALD-MZP km 646.229-648.175,90,7,CRIS-CMS,ALD-MZP-0117,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
118,19,TRD,jumper_hotspot,minor,2026-08-16,SSE/P.Way/PRYJ,open,Attend jumper hotspot on PYRJ-MIU km 59.901-60.652,45,21,TMS,PYRJ-MIU-0118,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
119,96,P.Way,scabbing,major,2026-08-17,JE/TRD/ALD,open,Attend scabbing on ALD-MZP km 703.215-707.392,90,9,CRIS-CMS,ALD-MZP-0119,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
120,48,S&T,axle_counter_reset,major,2026-08-21,OMMS footplate,in_progress,Attend axle counter reset on ALD-MZP km 698.894-698.931,45,7,CRIS-CMS,ALD-MZP-0120,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
121,21,P.Way,rail_fracture,critical,2026-09-05,SSE/S&T/PRYJ,in_progress,Attend rail fracture on ALD-MZP km 688.954-691.636,210,5,USFD,ALD-MZP-0121,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
122,78,TRD,auto_tension_failure,critical,2026-08-15,SSE/S&T/PRYJ,open,Attend auto tension failure on ALD-MZP km 681.064-681.817,150,2,FOIS-OMMS,ALD-MZP-0122,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
123,56,P.Way,weld_failure,critical,2026-08-23,TRC recording,acknowledged,Attend weld failure on PYRJ-ALD km 9.816-11.962,180,4,TMS,PYRJ-ALD-0123,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
124,29,TRD,auto_tension_failure,critical,2026-08-03,SSE/P.Way/PRYJ,open,Attend auto tension failure on PYRJ-ALD km 4.358-6.458,135,3,FOIS-OMMS,PYRJ-ALD-0124,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
125,28,P.Way,gauge_slack,major,2026-08-25,SSE/S&T/PRYJ,open,Attend gauge slack on PYRJ-MIU km 14.852-19.408,105,7,TMS,PYRJ-MIU-0125,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
126,64,S&T,LC_boom_sticking,major,2026-08-14,JE/P.Way/MZP,open,Attend LC boom sticking on PYRJ-MIU km 38.129-38.198,50,10,TRC,PYRJ-MIU-0126,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
127,91,TRD,contact_wire_wear,major,2026-08-09,USFD team/PRYJ,open,Attend contact wire wear on PYRJ-MIU km 29.023-29.372,105,7,USFD,PYRJ-MIU-0127,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
128,95,P.Way,rail_fracture,critical,2026-08-14,SSE/P.Way/PRYJ,in_progress,Attend rail fracture on PYRJ-ALD km 8.103-11.750,210,2,FOIS-OMMS,PYRJ-ALD-0128,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
129,74,TRD,auto_tension_failure,critical,2026-08-05,JE/TRD/ALD,acknowledged,Attend auto tension failure on PYRJ-ALD km 9.039-11.159,180,4,TMS,PYRJ-ALD-0129,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
130,52,S&T,signal_blank,critical,2026-08-21,JE/P.Way/MZP,open,Attend signal blank on PYRJ-MIU km 45.886-45.900,120,4,TMS,PYRJ-MIU-0130,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
131,56,P.Way,weld_failure,critical,2026-08-26,JE/TRD/ALD,open,Attend weld failure on PYRJ-ALD km 9.816-11.962,180,2,USFD,PYRJ-ALD-0131,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
132,40,P.Way,weed_growth,observational,2026-08-27,SSE/S&T/PRYJ,closed,Attend weed growth on PYRJ-MIU km 22.271-25.121,30,45,TRC,PYRJ-MIU-0132,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
133,82,P.Way,weld_failure,critical,2026-08-08,USFD team/PRYJ,acknowledged,Attend weld failure on PYRJ-MIU km 24.124-27.241,150,4,FOIS-OMMS,PYRJ-MIU-0133,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
134,94,P.Way,gauge_slack,major,2026-08-26,SSE/P.Way/PRYJ,deferred,Attend gauge slack on PYRJ-MIU km 36.669-40.936,90,9,CRIS-CMS,PYRJ-MIU-0134,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
135,23,P.Way,gauge_slack,major,2026-09-06,JE/P.Way/MZP,open,Attend gauge slack on PYRJ-ALD km 11.252-11.541,120,10,TRC,PYRJ-ALD-0135,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
136,98,P.Way,P&C_wear,minor,2026-08-05,TRC recording,open,Attend P&C wear on PYRJ-ALD km 2.927-6.515,65,23,CRIS-CMS,PYRJ-ALD-0136,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
137,57,S&T,signal_blank,critical,2026-08-11,JE/TRD/ALD,acknowledged,Attend signal blank on ALD-MZP km 686.057-686.102,105,4,TRC,ALD-MZP-0137,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
138,8,TRD,insulator_flashover,major,2026-08-09,SSE/P.Way/PRYJ,open,Attend insulator flashover on PYRJ-ALD km 0.572-0.835,90,10,USFD,PYRJ-ALD-0138,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
139,5,S&T,signal_blank,critical,2026-08-18,OMMS footplate,acknowledged,Attend signal blank on PYRJ-ALD km 9.230-9.274,105,2,TMS,PYRJ-ALD-0139,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
140,79,TRD,jumper_hotspot,minor,2026-08-09,JE/TRD/ALD,open,Attend jumper hotspot on PYRJ-MIU km 83.480-84.152,75,21,USFD,PYRJ-MIU-0140,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
141,74,TRD,mast_foundation_tilt,major,2026-08-29,SSE/S&T/PRYJ,acknowledged,Attend mast foundation tilt on PYRJ-ALD km 9.039-11.159,210,8,TMS,PYRJ-ALD-0141,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
142,58,S&T,signal_blank,critical,2026-08-20,TRC recording,open,Attend signal blank on PYRJ-MIU km 20.569-20.585,75,3,TMS,PYRJ-MIU-0142,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
143,32,S&T,LC_boom_sticking,major,2026-08-13,JE/TRD/ALD,open,Attend LC boom sticking on PYRJ-ALD km 5.410-5.462,50,9,FOIS-OMMS,PYRJ-ALD-0143,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
144,37,TRD,auto_tension_failure,critical,2026-08-15,OMMS footplate,in_progress,Attend auto tension failure on PYRJ-MIU km 6.549-8.619,165,2,FOIS-OMMS,PYRJ-MIU-0144,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
145,9,P.Way,weed_growth,observational,2026-09-04,USFD team/PRYJ,deferred,Attend weed growth on ALD-MZP km 640.014-640.917,60,47,FOIS-OMMS,ALD-MZP-0145,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
146,93,P.Way,gauge_slack,major,2026-08-20,SSE/P.Way/PRYJ,deferred,Attend gauge slack on ALD-MZP km 654.934-658.202,90,9,FOIS-OMMS,ALD-MZP-0146,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
147,84,TRD,mast_foundation_tilt,major,2026-08-16,JE/P.Way/MZP,acknowledged,Attend mast foundation tilt on ALD-MZP km 661.726-661.993,165,9,TRC,ALD-MZP-0147,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
148,49,P.Way,weed_growth,observational,2026-09-02,TRC recording,acknowledged,Attend weed growth on PYRJ-MIU km 79.469-81.708,15,48,TRC,PYRJ-MIU-0148,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
149,47,S&T,signal_blank,critical,2026-08-18,SSE/S&T/PRYJ,open,Attend signal blank on PYRJ-ALD km 5.216-5.252,90,3,FOIS-OMMS,PYRJ-ALD-0149,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
150,99,P.Way,P&C_wear,minor,2026-08-29,JE/P.Way/MZP,deferred,Attend P&C wear on ALD-MZP km 694.708-698.598,50,22,TMS,ALD-MZP-0150,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
151,38,S&T,EI_alarm,observational,2026-09-04,USFD team/PRYJ,acknowledged,Attend EI alarm on PYRJ-ALD km 6.008-6.031,15,47,TRC,PYRJ-ALD-0151,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
152,17,S&T,aspect_dim,minor,2026-08-17,JE/P.Way/MZP,open,Attend aspect dim on PYRJ-ALD km 6.196-6.218,40,22,TRC,PYRJ-ALD-0152,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
153,22,P.Way,P&C_wear,minor,2026-09-08,JE/TRD/ALD,in_progress,Attend P&C wear on PYRJ-MIU km 53.950-58.375,65,22,USFD,PYRJ-MIU-0153,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
154,79,TRD,insulator_flashover,major,2026-08-13,JE/P.Way/MZP,open,Attend insulator flashover on PYRJ-MIU km 83.480-84.152,75,9,USFD,PYRJ-MIU-0154,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
155,25,TRD,insulator_flashover,major,2026-08-05,JE/TRD/ALD,open,Attend insulator flashover on PYRJ-MIU km 87.486-89.599,105,9,USFD,PYRJ-MIU-0155,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
156,65,TRD,jumper_hotspot,minor,2026-08-15,JE/P.Way/MZP,open,Attend jumper hotspot on PYRJ-ALD km 6.998-7.627,45,22,FOIS-OMMS,PYRJ-ALD-0156,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
157,7,P.Way,P&C_wear,minor,2026-08-18,USFD team/PRYJ,in_progress,Attend P&C wear on PYRJ-MIU km 12.410-17.198,35,21,FOIS-OMMS,PYRJ-MIU-0157,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
158,11,TRD,dropper_missing,observational,2026-08-31,SSE/S&T/PRYJ,acknowledged,Attend dropper missing on PYRJ-ALD km 5.125-6.575,60,46,USFD,PYRJ-ALD-0158,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
159,12,P.Way,scabbing,major,2026-08-13,SSE/S&T/PRYJ,deferred,Attend scabbing on ALD-MZP km 693.782-698.449,45,10,TMS,ALD-MZP-0159,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
160,51,TRD,jumper_hotspot,minor,2026-08-18,JE/P.Way/MZP,deferred,Attend jumper hotspot on ALD-MZP km 704.748-706.762,75,21,FOIS-OMMS,ALD-MZP-0160,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
161,29,TRD,OHE_snap,critical,2026-08-21,SSE/P.Way/PRYJ,in_progress,Attend OHE snap on PYRJ-ALD km 4.358-6.458,225,3,CRIS-CMS,PYRJ-ALD-0161,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
162,5,S&T,axle_counter_reset,major,2026-08-11,TRC recording,deferred,Attend axle counter reset on PYRJ-ALD km 9.230-9.274,60,10,USFD,PYRJ-ALD-0162,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
163,79,TRD,OHE_snap,critical,2026-09-05,SSE/P.Way/PRYJ,open,Attend OHE snap on PYRJ-MIU km 83.480-84.152,225,3,CRIS-CMS,PYRJ-MIU-0163,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
164,71,P.Way,sleeper_decay,major,2026-09-03,OMMS footplate,open,Attend sleeper decay on PYRJ-ALD km 7.552-7.794,90,8,FOIS-OMMS,PYRJ-ALD-0164,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
165,16,S&T,signal_blank,critical,2026-08-26,JE/TRD/ALD,acknowledged,Attend signal blank on PYRJ-MIU km 68.237-68.238,120,2,TMS,PYRJ-MIU-0165,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
166,64,S&T,aspect_dim,minor,2026-08-07,SSE/P.Way/PRYJ,in_progress,Attend aspect dim on PYRJ-MIU km 38.129-38.198,40,22,FOIS-OMMS,PYRJ-MIU-0166,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
167,55,P.Way,rail_fracture,critical,2026-08-02,SSE/S&T/PRYJ,closed,Attend rail fracture on PYRJ-MIU km 70.691-75.153,180,5,CRIS-CMS,PYRJ-MIU-0167,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
168,86,P.Way,weld_failure,critical,2026-08-08,SSE/S&T/PRYJ,closed,Attend weld failure on PYRJ-ALD km 2.428-5.559,135,2,USFD,PYRJ-ALD-0168,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
169,61,P.Way,rail_fracture,critical,2026-08-01,JE/TRD/ALD,open,Attend rail fracture on PYRJ-MIU km 78.439-80.952,195,4,TMS,PYRJ-MIU-0169,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
170,46,S&T,EI_alarm,observational,2026-09-06,SSE/S&T/PRYJ,in_progress,Attend EI alarm on PYRJ-MIU km 18.103-18.113,30,45,TRC,PYRJ-MIU-0170,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
171,95,P.Way,weed_growth,observational,2026-09-02,SSE/P.Way/PRYJ,open,Attend weed growth on PYRJ-ALD km 8.103-11.750,45,47,CRIS-CMS,PYRJ-ALD-0171,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
172,100,TRD,mast_foundation_tilt,major,2026-08-12,TRC recording,open,Attend mast foundation tilt on PYRJ-MIU km 14.943-15.577,210,8,CRIS-CMS,PYRJ-MIU-0172,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
173,9,P.Way,P&C_wear,minor,2026-09-08,SSE/S&T/PRYJ,open,Attend P&C wear on ALD-MZP km 640.014-640.917,50,21,CRIS-CMS,ALD-MZP-0173,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
174,6,S&T,axle_counter_reset,major,2026-08-22,USFD team/PRYJ,open,Attend axle counter reset on ALD-MZP km 659.822-659.894,90,10,FOIS-OMMS,ALD-MZP-0174,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
175,5,S&T,EI_alarm,observational,2026-08-29,SSE/S&T/PRYJ,deferred,Attend EI alarm on PYRJ-ALD km 9.230-9.274,45,45,FOIS-OMMS,PYRJ-ALD-0175,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
176,35,TRD,OHE_snap,critical,2026-08-18,JE/TRD/ALD,acknowledged,Attend OHE snap on PYRJ-ALD km 0.079-1.512,240,5,USFD,PYRJ-ALD-0176,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
177,44,S&T,track_circuit_failure,critical,2026-08-10,TRC recording,deferred,Attend track circuit failure on PYRJ-ALD km 7.979-8.031,105,4,TRC,PYRJ-ALD-0177,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
178,35,TRD,dropper_missing,observational,2026-09-05,TRC recording,deferred,Attend dropper missing on PYRJ-ALD km 0.079-1.512,60,45,USFD,PYRJ-ALD-0178,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
179,78,TRD,dropper_missing,observational,2026-08-30,USFD team/PRYJ,acknowledged,Attend dropper missing on ALD-MZP km 681.064-681.817,45,47,TMS,ALD-MZP-0179,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
180,11,TRD,insulator_flashover,major,2026-08-23,SSE/S&T/PRYJ,in_progress,Attend insulator flashover on PYRJ-ALD km 5.125-6.575,105,10,CRIS-CMS,PYRJ-ALD-0180,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
181,89,P.Way,P&C_wear,minor,2026-08-19,JE/TRD/ALD,closed,Attend P&C wear on PYRJ-ALD km 4.388-8.746,35,23,TRC,PYRJ-ALD-0181,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
182,56,P.Way,ballast_deficiency,minor,2026-08-01,OMMS footplate,deferred,Attend ballast deficiency on PYRJ-ALD km 9.816-11.962,30,21,USFD,PYRJ-ALD-0182,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
183,47,S&T,aspect_dim,minor,2026-08-31,SSE/P.Way/PRYJ,open,Attend aspect dim on PYRJ-ALD km 5.216-5.252,40,24,TMS,PYRJ-ALD-0183,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
184,17,S&T,signal_blank,critical,2026-08-26,OMMS footplate,open,Attend signal blank on PYRJ-ALD km 6.196-6.218,105,4,USFD,PYRJ-ALD-0184,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
185,73,S&T,signal_blank,critical,2026-08-03,JE/P.Way/MZP,open,Attend signal blank on PYRJ-MIU km 12.512-12.553,120,4,FOIS-OMMS,PYRJ-MIU-0185,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
186,57,S&T,EI_alarm,observational,2026-09-06,USFD team/PRYJ,acknowledged,Attend EI alarm on ALD-MZP km 686.057-686.102,30,47,USFD,ALD-MZP-0186,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
187,41,P.Way,ballast_deficiency,minor,2026-08-26,SSE/P.Way/PRYJ,open,Attend ballast deficiency on PYRJ-ALD km 1.616-5.530,30,22,USFD,PYRJ-ALD-0187,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
188,67,TRD,auto_tension_failure,critical,2026-08-06,SSE/P.Way/PRYJ,in_progress,Attend auto tension failure on PYRJ-MIU km 87.135-88.413,165,4,USFD,PYRJ-MIU-0188,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
189,28,P.Way,ballast_deficiency,minor,2026-08-10,JE/P.Way/MZP,open,Attend ballast deficiency on PYRJ-MIU km 14.852-19.408,30,22,TMS,PYRJ-MIU-0189,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
190,58,S&T,track_circuit_failure,critical,2026-08-13,SSE/P.Way/PRYJ,open,Attend track circuit failure on PYRJ-MIU km 20.569-20.585,90,4,TMS,PYRJ-MIU-0190,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
191,71,P.Way,ballast_deficiency,minor,2026-08-22,OMMS footplate,open,Attend ballast deficiency on PYRJ-ALD km 7.552-7.794,45,22,FOIS-OMMS,PYRJ-ALD-0191,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
192,66,P.Way,scabbing,major,2026-09-03,JE/P.Way/MZP,open,Attend scabbing on ALD-MZP km 680.690-681.267,60,8,USFD,ALD-MZP-0192,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
193,4,P.Way,weed_growth,observational,2026-08-06,USFD team/PRYJ,open,Attend weed growth on PYRJ-MIU km 22.956-24.375,45,48,TRC,PYRJ-MIU-0193,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
194,17,S&T,aspect_dim,minor,2026-09-05,SSE/P.Way/PRYJ,acknowledged,Attend aspect dim on PYRJ-ALD km 6.196-6.218,55,24,USFD,PYRJ-ALD-0194,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
195,68,S&T,cable_fault,major,2026-08-15,OMMS footplate,open,Attend cable fault on PYRJ-ALD km 3.879-3.933,105,8,FOIS-OMMS,PYRJ-ALD-0195,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
196,83,P.Way,weld_failure,critical,2026-08-13,JE/TRD/ALD,open,Attend weld failure on PYRJ-ALD km 10.030-11.386,165,3,TRC,PYRJ-ALD-0196,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
197,82,P.Way,gauge_slack,major,2026-09-02,JE/TRD/ALD,acknowledged,Attend gauge slack on PYRJ-MIU km 24.124-27.241,75,7,TRC,PYRJ-MIU-0197,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
198,20,P.Way,ballast_deficiency,minor,2026-08-31,JE/P.Way/MZP,open,Attend ballast deficiency on PYRJ-ALD km 4.220-5.335,60,22,FOIS-OMMS,PYRJ-ALD-0198,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
199,67,TRD,insulator_flashover,major,2026-09-05,SSE/S&T/PRYJ,acknowledged,Attend insulator flashover on PYRJ-MIU km 87.135-88.413,75,9,CRIS-CMS,PYRJ-MIU-0199,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
200,81,S&T,axle_counter_reset,major,2026-08-02,USFD team/PRYJ,open,Attend axle counter reset on ALD-MZP km 655.196-655.213,45,8,TRC,ALD-MZP-0200,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
