task_id,asset_id,department,task_type,linked_defect_id,priority_score,failure_prob_7d,failure_prob_30d,urgency_score,estimated_duration_min,earliest_start_date,latest_end_date,preferred_shift,status,source_system,created_at,updated_at
136,6,S&T,corrective_axle_counter_reset,174,66.23,0.1945,0.3832,61.07,90,2026-09-10,2026-09-20,day,scheduled,FOIS-OMMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
137,10,TRD,corrective_jumper_hotspot,13,42.66,0.0643,0.1423,40.14,30,2026-09-10,2026-10-03,night,pending,TRC,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
138,48,S&T,corrective_cable_fault,25,64.64,0.1751,0.227,63.55,135,2026-09-10,2026-09-20,any,pending,TRC,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
139,7,P.Way,corrective_P&C_wear,157,47.57,0.0654,0.2144,42.09,35,2026-09-10,2026-10-01,night,pending,FOIS-OMMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
140,13,S&T,corrective_aspect_dim,64,46.08,0.0642,0.1307,45.83,40,2026-09-10,2026-10-04,any,pending,CRIS-CMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
141,38,S&T,periodic_signal_round_testing,,31.72,0.0476,0.1061,33.56,60,2026-09-11,2026-09-25,any,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
142,71,P.Way,periodic_USFD_testing,,29.01,0.0643,0.1948,35.57,120,2026-09-08,2026-09-29,night,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
143,98,P.Way,periodic_packing_P&C,,42.9,0.0793,0.1306,33.78,90,2026-09-15,2026-09-29,any,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
144,5,S&T,periodic_cable_meggering,,43.96,0.0704,0.1199,17.93,90,2026-09-11,2026-10-02,night,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
145,27,TRD,periodic_isolator_maintenance,,24.2,0.0216,0.0769,20.17,60,2026-09-12,2026-10-12,night,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
146,73,S&T,periodic_cable_meggering,,47.37,0.0518,0.1103,22.32,90,2026-09-15,2026-10-06,any,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
147,66,P.Way,periodic_USFD_testing,,44.01,0.0743,0.2235,18.17,120,2026-09-09,2026-10-09,night,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
148,32,S&T,periodic_signal_round_testing,,32.68,0.0633,0.1777,29.44,60,2026-09-12,2026-09-26,any,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
149,81,S&T,periodic_cable_meggering,,41.07,0.0153,0.1427,25.07,90,2026-09-13,2026-10-13,any,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
150,89,P.Way,periodic_destressing,,41.22,0.0329,0.0732,33.32,240,2026-09-14,2026-10-14,any,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
151,82,P.Way,periodic_destressing,,24.36,0.0252,0.1125,21.71,240,2026-09-08,2026-10-08,any,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
152,44,S&T,periodic_point_machine_overhaul,,40.87,0.0652,0.2035,16.15,120,2026-09-09,2026-10-09,any,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
153,3,TRD,periodic_OHE_patrolling,,30.83,0.042,0.1911,39.89,90,2026-09-09,2026-10-09,night,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
154,84,TRD,periodic_contact_wire_measurement,,20.47,0.0165,0.0962,31.61,120,2026-09-09,2026-09-30,night,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
155,7,P.Way,periodic_packing_P&C,,20.86,0.04,0.0901,20.34,90,2026-09-11,2026-09-25,night,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
156,17,S&T,periodic_point_machine_overhaul,,42.51,0.0107,0.1272,39.7,120,2026-09-10,2026-10-10,any,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
157,89,P.Way,periodic_tamping,,42.18,0.026,0.0759,17.58,180,2026-09-14,2026-09-21,any,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
158,39,TRD,periodic_OHE_patrolling,,20.05,0.0549,0.1694,29.08,90,2026-09-13,2026-09-27,night,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
159,57,S&T,periodic_cable_meggering,,31.27,0.0744,0.1822,20.43,90,2026-09-10,2026-09-24,night,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
160,18,TRD,periodic_OHE_patrolling,,22.19,0.0774,0.152,21.92,90,2026-09-13,2026-10-04,night,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
161,32,S&T,periodic_point_machine_overhaul,,27.05,0.0694,0.1818,27.94,120,2026-09-11,2026-09-18,night,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
162,96,P.Way,periodic_packing_P&C,,25.18,0.0649,0.1922,24.65,90,2026-09-11,2026-09-18,night,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
163,64,S&T,periodic_point_machine_overhaul,,21.96,0.0791,0.2218,36.52,120,2026-09-08,2026-09-15,any,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
164,47,S&T,periodic_point_machine_overhaul,,18.5,0.0768,0.2016,16.69,120,2026-09-09,2026-10-09,any,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
165,28,P.Way,periodic_USFD_testing,,33.03,0.0455,0.1546,25.39,120,2026-09-07,2026-10-07,any,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
166,11,TRD,periodic_isolator_maintenance,,33.34,0.0294,0.1035,20.08,60,2026-09-15,2026-09-29,night,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
167,69,TRD,periodic_contact_wire_measurement,,46.6,0.0317,0.1198,20.97,120,2026-09-13,2026-09-20,night,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
168,12,P.Way,periodic_packing_P&C,,37.98,0.0529,0.0989,31.45,90,2026-09-08,2026-10-08,night,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
169,16,S&T,periodic_signal_round_testing,,33.69,0.0215,0.1663,34.57,60,2026-09-09,2026-09-16,any,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
170,22,P.Way,periodic_destressing,,45.0,0.0613,0.1143,23.38,240,2026-09-09,2026-09-30,any,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
171,35,TRD,periodic_isolator_maintenance,,20.31,0.0599,0.1633,26.38,60,2026-09-08,2026-09-29,any,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
172,8,TRD,periodic_contact_wire_measurement,,44.83,0.021,0.1461,31.85,120,2026-09-09,2026-09-30,night,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
173,30,P.Way,periodic_USFD_testing,,29.49,0.0271,0.119,18.75,120,2026-09-07,2026-09-14,night,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
174,71,P.Way,periodic_packing_P&C,,27.6,0.0274,0.1681,35.65,90,2026-09-10,2026-10-01,any,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
175,16,S&T,periodic_point_machine_overhaul,,19.38,0.0256,0.1224,25.02,120,2026-09-07,2026-09-21,any,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
176,37,TRD,periodic_contact_wire_measurement,,24.02,0.0487,0.0896,29.1,120,2026-09-12,2026-09-19,any,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
177,95,P.Way,periodic_tamping,,41.18,0.0514,0.1457,19.89,180,2026-09-14,2026-10-05,night,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
178,20,P.Way,periodic_USFD_testing,,43.19,0.0263,0.1044,36.93,120,2026-09-13,2026-09-20,any,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
179,1,S&T,periodic_point_machine_overhaul,,25.15,0.0173,0.1156,27.3,120,2026-09-13,2026-10-04,night,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
180,19,TRD,periodic_isolator_maintenance,,43.37,0.0131,0.0785,25.33,60,2026-09-11,2026-09-18,any,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
181,59,P.Way,periodic_USFD_testing,,35.76,0.0546,0.138,16.56,120,2026-09-08,2026-09-22,night,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
182,31,P.Way,periodic_destressing,,42.96,0.0748,0.158,23.16,240,2026-09-11,2026-10-02,any,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
183,35,TRD,periodic_OHE_patrolling,,21.27,0.0195,0.1442,17.64,90,2026-09-08,2026-09-22,any,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
184,60,S&T,periodic_cable_meggering,,24.23,0.0475,0.1936,22.71,90,2026-09-13,2026-09-20,any,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
185,16,S&T,periodic_signal_round_testing,,19.21,0.0678,0.1845,35.9,60,2026-09-09,2026-09-30,any,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
186,19,TRD,periodic_OHE_patrolling,,26.97,0.0377,0.0831,35.5,90,2026-09-10,2026-10-01,night,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
187,4,P.Way,periodic_packing_P&C,,41.81,0.0166,0.0678,18.04,90,2026-09-14,2026-09-28,night,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
188,100,TRD,periodic_OHE_patrolling,,36.91,0.0677,0.1486,31.12,90,2026-09-09,2026-09-23,any,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
189,10,TRD,periodic_OHE_patrolling,,21.86,0.0732,0.162,37.63,90,2026-09-08,2026-09-22,any,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
190,16,S&T,periodic_signal_round_testing,,42.65,0.0218,0.1249,24.87,60,2026-09-14,2026-09-21,night,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
191,49,P.Way,periodic_packing_P&C,,26.4,0.025,0.0856,37.09,90,2026-09-09,2026-09-30,night,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
192,79,TRD,periodic_isolator_maintenance,,32.37,0.0449,0.182,17.19,60,2026-09-10,2026-10-01,any,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
193,18,TRD,periodic_contact_wire_measurement,,41.85,0.0542,0.1824,39.74,120,2026-09-10,2026-09-24,any,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
194,62,P.Way,periodic_packing_P&C,,27.57,0.0372,0.097,20.48,90,2026-09-12,2026-10-03,any,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
195,8,TRD,periodic_contact_wire_measurement,,47.22,0.0637,0.2136,17.5,120,2026-09-15,2026-10-06,night,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
196,35,TRD,periodic_isolator_maintenance,,29.65,0.0503,0.1984,38.38,60,2026-09-07,2026-09-21,night,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
197,23,P.Way,periodic_tamping,,39.02,0.074,0.1171,38.69,180,2026-09-12,2026-10-03,night,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
198,73,S&T,periodic_signal_round_testing,,19.69,0.0223,0.0665,30.04,60,2026-09-14,2026-10-05,night,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
199,68,S&T,periodic_cable_meggering,,21.91,0.0743,0.1364,32.92,90,2026-09-07,2026-09-28,any,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
200,8,TRD,periodic_OHE_patrolling,,43.82,0.0642,0.1973,39.01,90,2026-09-09,2026-09-23,any,pending,IR-PMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
